A,B,? Before Extension,D,E,? After Extension
0.609173365,0.44608424,-0.163089125,0.622692109,0.523591305,-0.099100804
0.408384195,0.207375412,-0.201008783,0.440673047,0.248102111,-0.192570937
0.613329364,0.665382504,0.05205314,0.63050985,0.69445532,0.063945469
0.4981829,0.646365048,0.148182148,0.511979457,0.682387832,0.170408375
0.401390835,0.422134334,0.020743499,0.419496267,0.459785043,0.040288777
0.243720063,0.246258197,0.002538134,0.252903364,0.277876722,0.024973358
0.6519464,0.123461419,-0.528484981,0.648743358,0.20886223,-0.439881129
0.605706696,0.472833025,-0.132873671,0.608721958,0.490421865,-0.118300093
0.705278758,0.552276405,-0.153002353,0.710102902,0.576071103,-0.134031798
0.679235978,0.451654317,-0.227581661,0.661491233,0.503649214,-0.157842019
0.629719234,0.599540928,-0.030178305,0.645592426,0.620083272,-0.025509154
0.527514516,0.571131809,0.043617293,0.536538353,0.60366548,0.067127127
0.543770017,0.595327935,0.051557919,0.562285058,0.642297012,0.080011954
0.757143535,0.648450193,-0.108693342,0.763365984,0.69196641,-0.071399574
0.417666318,0.383033073,-0.034633245,0.454621256,0.504148122,0.049526865
0.45562373,0.422643668,-0.032980062,0.469825056,0.475106418,0.005281362
0.393301708,0.357339047,-0.035962662,0.408039229,0.467251707,0.059212478
0.441993058,0.482859117,0.040866059,0.454373195,0.548935992,0.094562797
0.507574971,0.526261335,0.018686364,0.525534411,0.607397872,0.081863461
0.504518411,0.485905918,-0.018612494,0.514636285,0.518445265,0.00380898
0.471073558,0.479986825,0.008913267,0.491351376,0.553511936,0.06216056
0.455335376,0.411474651,-0.043860724,0.466732543,0.455533597,-0.011198946
